method,g_steps,tau_steps,use_corrector,corrector,c_stepsize,c_steps,nfe,h_dist,outlier_rate
gillespies,1,0,True,mpf,0.1,1,425.6,0.3862917275614546,0.1089895940390544
gillespies,1,0,True,mpf,0.1,1,425.6,0.3853583490585927,0.1074720580678314
gillespies,3,0,True,barker,0.1,1,141.86666666666667,0.3804734516751072,0.1304438591983556
gillespies,3,0,True,barker,0.1,1,141.86666666666667,0.3789452958436771,0.1296248715313463
gillespies,3,0,True,barker,0.1,1,141.86666666666667,0.378887308918806,0.1286212101747173
gillespies,2,0,True,barker,0.1,1,212.8,0.3779387006171262,0.1284445657759506
gillespies,2,0,True,barker,0.1,1,212.8,0.377901295591722,0.1266981950154162
gillespies,2,0,True,barker,0.1,1,212.8,0.3791796645077259,0.1286412834018499
gillespies,1,0,True,barker,0.1,1,425.6,0.3778839336102783,0.126019719938335
gillespies,1,0,True,barker,0.1,1,425.6,0.3763683339189232,0.1250602196813977
gillespies,1,0,True,barker,0.1,1,425.6,0.3778929674672552,0.1254697135149023
tauleaping,0,50,True,barker,0.05,1,95.0,0.3976385449807195,0.15198644655704
tauleaping,0,50,True,barker,0.05,1,95.0,0.3987160968902745,0.1543550873586844
tauleaping,0,50,True,barker,0.05,1,95.0,0.3969865136074619,0.1530222250770812
tauleaping,0,50,True,barker,0.1,1,95.0,0.3980528411952264,0.1532550745118191
tauleaping,0,50,True,barker,0.1,1,95.0,0.3981089427945222,0.1528295220966084
tauleaping,0,50,True,barker,0.1,1,95.0,0.3993366227574593,0.1537247880267215
tauleaping,0,100,True,barker,0.1,1,190.0,0.3906160320004732,0.1405647803186022
tauleaping,0,100,True,barker,0.1,1,190.0,0.3921691045483312,0.1419217304727646
tauleaping,0,100,True,barker,0.1,1,190.0,0.3909310115923907,0.1426242934224049
tauleaping,0,200,True,barker,0.1,1,380.0,0.3858292281506808,0.13467529547790338
tauleaping,0,200,True,barker,0.1,1,380.0,0.38419458643839044,0.13174460431654678
tauleaping,0,200,True,barker,0.1,1,380.0,0.38476495294708696,0.13372783915724562
