method,g_steps,tau_steps,use_corrector,corrector,c_stepsize,c_steps,nfe,time_mean,time_var,time_skew,time_kurt,freq_mean,freq_var,freq_skew,freq_kurt,tag
tauleaping,0,20,True,mpf,0.1,1,38.0,0.001453785830588,0.0001196644815944,0.0354374440059966,0.4522984597869625,0.0014537864171571,0.0014596635940522,0.3590237116976977,3.941535497644933,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0011457062184635,7.374185306289803e-05,0.0213235260922903,0.1138908126076821,0.0011457068471495,0.0010771683745918,0.3829909365306668,3.492037255166544,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0014971018485526,8.855508420972996e-05,0.0422536587438919,0.1209945454689803,0.0014971025417544,0.000988828920074,0.5558300548144965,4.336803406675988,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0006859905437462,9.70624090120298e-05,0.0292033844521026,0.3801904935042559,0.0006859913310817,0.0014306122744873,0.437590136619902,4.00145300589297,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.00204700994487,8.383895719328562e-05,0.053376668915681,0.2953381614763125,0.0020470112443853,0.001848635865875,0.4680410082764306,3.7727649277336233,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0016243371995122,0.0001832763711218,0.0414473730095762,0.2457178906311325,0.0016243382461052,0.0025419909764095,0.6958054770249535,6.351729967737693,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0007344110913787,7.409642346916866e-05,0.0375559463393779,0.2126330414289967,0.00073441177022,0.0008355360097861,0.5003852817658543,4.40335609245304,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0007262515278823,0.0002008445763835,0.033984409447349,0.4547801726634375,0.0007262520701185,0.0017287993243834,0.4622835747189057,5.007365715397758,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0006053547778791,0.0001068263385927,0.0269956950363082,0.3280795032260936,0.0006053556941644,0.0018860904244734,0.4796355641572816,4.3491207390847855,tauleaping+1mpf-0.1
tauleaping,0,20,True,mpf,0.1,1,38.0,0.0013747300305026,7.913850606050753e-05,0.0435180081303684,0.2054515687316589,0.001374731063026,0.0013790270847279,0.4700682287400497,4.391679484499076,tauleaping+1mpf-0.1
